target_id	length	eff_length	est_counts	tpm
TRINITY_DN98_c0_g1_i1	985	782.181	739	238.944
TRINITY_DN2_c0_g1_i1	1096	893.181	1082	306.37
TRINITY_DN48_c0_g1_i1	789	586.181	53	22.8667
TRINITY_DN70_c0_g1_i1	1074	871.181	808	234.564
TRINITY_DN66_c0_g1_i1	365	178.363	0	0
TRINITY_DN66_c0_g1_i2	321	141.761	2	3.56806
TRINITY_DN76_c0_g1_i1	1395	1192.18	143	30.3356
TRINITY_DN43_c0_g1_i1	586	384.258	352	231.675
TRINITY_DN43_c0_g2_i1	1499	1296.18	1250	243.895
TRINITY_DN33_c0_g1_i1	467	270.099	92	86.1436
TRINITY_DN82_c0_g1_i1	1266	1063.18	9	2.14089
TRINITY_DN25_c0_g1_i1	402	210.419	131.837	158.457
TRINITY_DN25_c0_g1_i2	475	277.49	11.163	10.174
TRINITY_DN19_c0_g1_i1	384	194.786	1.44339	1.87407
TRINITY_DN19_c0_g1_i2	584	382.335	3.55661	2.35262
TRINITY_DN44_c0_g1_i1	1352	1149.18	198.513	43.6877
TRINITY_DN44_c0_g1_i2	1429	1226.18	6.48729	1.33804
TRINITY_DN61_c0_g1_i1	201	56.673	1	4.46255
TRINITY_DN22_c0_g1_i1	586	384.258	298.153	196.234
TRINITY_DN22_c0_g1_i2	345	161.234	12.8471	20.1515
TRINITY_DN78_c0_g1_i1	1065	862.181	151	44.2932
TRINITY_DN85_c0_g1_i1	2158	1955.18	890	115.123
TRINITY_DN85_c0_g2_i1	949	746.181	180	61.0081
TRINITY_DN29_c0_g1_i2	300	125.336	421	849.507
TRINITY_DN60_c0_g1_i1	202	57.2293	4	17.6767
TRINITY_DN60_c0_g2_i1	560	358.851	4	2.81906
TRINITY_DN45_c0_g1_i1	1627	1424.18	43	7.63594
TRINITY_DN83_c0_g1_i1	790	587.181	563.745	242.812
TRINITY_DN83_c0_g1_i2	861	658.181	2.25549	0.86667
TRINITY_DN47_c0_g1_i1	2703	2500.18	186	18.8148
TRINITY_DN58_c0_g1_i1	1015	812.181	823	256.275
TRINITY_DN95_c0_g1_i1	542	341.412	47	34.8159
TRINITY_DN91_c0_g1_i1	912	709.181	147	52.4227
TRINITY_DN56_c0_g1_i1	224	71.3592	14	49.6178
TRINITY_DN51_c0_g1_i1	395	204.307	104	128.739
TRINITY_DN90_c0_g1_i2	1153	950.181	30	7.98498
TRINITY_DN18_c0_g1_i1	220	68.743	6	22.074
TRINITY_DN40_c0_g1_i1	964	761.181	296	98.3474
TRINITY_DN16_c0_g1_i2	1091	888.181	22	6.26441
TRINITY_DN55_c0_g1_i1	2183	1980.18	239	30.5247
TRINITY_DN59_c0_g1_i1	286	114.526	1.44503	3.19105
TRINITY_DN59_c0_g1_i2	264	98.8266	1.55497	3.9793
TRINITY_DN64_c0_g1_i1	270	103.013	8	19.6408
TRINITY_DN64_c0_g2_i1	281	110.843	3	6.84501
TRINITY_DN96_c0_g1_i1	205	59.1058	3	12.8366
TRINITY_DN96_c0_g1_i2	202	57.2293	3	13.2575
TRINITY_DN71_c0_g1_i1	205	59.1058	11	47.0675
TRINITY_DN5_c0_g1_i1	832	629.181	33	13.2647
TRINITY_DN81_c0_g1_i1	483	284.948	105	93.1927
TRINITY_DN37_c0_g1_i1	215	65.6219	0	0
TRINITY_DN37_c0_g2_i1	283	112.309	1	2.25188
TRINITY_DN79_c0_g1_i1	732	529.181	1400	669.087
TRINITY_DN75_c0_g1_i1	352	167.101	12	18.1619
TRINITY_DN93_c0_g1_i1	1746	1543.18	14.4896	2.37465
TRINITY_DN93_c0_g1_i2	1647	1444.18	399.51	69.9625
TRINITY_DN1_c0_g1_i2	212	63.6598	1	3.97277
TRINITY_DN99_c0_g1_i1	1244	1041.18	1386	336.663
TRINITY_DN3_c0_g1_i1	1733	1530.18	3149	520.462
TRINITY_DN14_c0_g1_i1	285	113.811	3	6.66649
TRINITY_DN14_c0_g2_i1	363	176.647	3	4.2951
TRINITY_DN31_c0_g1_i1	221	69.3327	77	280.874
